Episode,Reward,Length
1258,14.0,14
1259,16.0,16
1260,11.0,11
1261,12.0,12
1262,12.0,12
1263,12.0,12
1264,15.0,15
1265,17.0,17
1266,15.0,15
1267,11.0,11
1268,14.0,14
1269,11.0,11
1270,17.0,17
1271,12.0,12
1272,16.0,16
1273,12.0,12
1274,17.0,17
1275,25.0,25
1276,16.0,16
1277,13.0,13
1278,12.0,12
1279,11.0,11
1280,15.0,15
1281,12.0,12
1282,15.0,15
1283,13.0,13
1284,15.0,15
1285,14.0,14
1286,12.0,12
1287,10.0,10
1288,16.0,16
1289,15.0,15
1290,13.0,13
1291,16.0,16
1292,16.0,16
1293,13.0,13
1294,13.0,13
1295,12.0,12
1296,12.0,12
1297,13.0,13
1298,12.0,12
1299,15.0,15
1300,14.0,14
1301,12.0,12
1302,15.0,15
1303,13.0,13
1304,15.0,15
1305,15.0,15
1306,13.0,13
1307,17.0,17
1308,17.0,17
1309,13.0,13
1310,11.0,11
1311,11.0,11
1312,15.0,15
1313,18.0,18
1314,14.0,14
1315,14.0,14
1316,13.0,13
1317,15.0,15
1318,15.0,15
1319,11.0,11
1320,13.0,13
1321,12.0,12
1322,15.0,15
1323,24.0,24
1324,18.0,18
1325,14.0,14
1326,15.0,15
1327,17.0,17
1328,11.0,11
1329,14.0,14
1330,15.0,15
1331,11.0,11
1332,15.0,15
1333,16.0,16
1334,16.0,16
1335,18.0,18
1336,11.0,11
1337,15.0,15
1338,18.0,18
1339,18.0,18
1340,17.0,17
1341,11.0,11
1342,18.0,18
1343,11.0,11
1344,15.0,15
1345,11.0,11
1346,11.0,11
1347,13.0,13
1348,14.0,14
1349,15.0,15
1350,13.0,13
1351,13.0,13
1352,13.0,13
1353,17.0,17
1354,12.0,12
1355,15.0,15
1356,12.0,12
1357,13.0,13
1358,17.0,17
1359,16.0,16
1360,11.0,11
1361,11.0,11
1362,22.0,22
1363,17.0,17
1364,12.0,12
1365,17.0,17
1366,14.0,14
1367,18.0,18
1368,11.0,11
1369,12.0,12
1370,11.0,11
1371,13.0,13
1372,13.0,13
1373,17.0,17
1374,15.0,15
1375,16.0,16
1376,15.0,15
1377,17.0,17
